price_per_month,metro_nearest_time,total_area,floor,has_bath_flg,has_shower_flg,has_internet_flg,has_ac_flg,has_room_furniture_flg,has_kitchen_furniture_flg,has_dishwasher_flg,has_washer_flg,has_tv_flg,has_fridge_flg,utility_fixed_bill,utility_usage_bill_flg,utility_counters_extra_flg,deposit,comission,prepayment_months_cnt,rent_term_months_cnt,combined_bathrooms_cnt,separate_bathrooms_cnt,repair_cat,freight_elevators_cnt,passenger_elevators_cnt,parking_cat,heating_cat,balcony_cnt,loggia_cnt,has_garbage_chute_flg,has_concierge_flg,entrances_cnt,individual_project_flg,era_cat,house_type_monolithic_flg,house_type_monolithic_brick_flg,house_type_panel_flg,district_krasnogvardeysky_flg,district_krasnoselsky_flg,district_moskovsky_flg,district_nevsky_flg,district_other_flg,district_primorsky_flg,district_vyborgsky_flg
31000,10,31.0,0.33,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0.7,1,12,1,0,2,1,1,1,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0
130000,13,94.0,0.5,1,1,1,1,1,1,1,1,1,1,17000,0,1,130000,0.0,1,12,2,0,3,1,1,2,3,0,1,1,0,26,1,3,0,0,0,0,0,0,0,0,0,0
50900,15,60.6,0.75,1,0,1,0,1,1,1,1,1,1,3500,0,1,0,0.5,1,12,1,0,1,0,0,1,1,0,0,0,0,3,1,2,0,0,1,0,0,0,0,1,0,0
33000,7,29.0,0.33,0,0,1,1,1,1,0,1,1,1,6000,0,1,33000,0.5,0,12,1,0,2,0,3,1,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0
45000,10,45.0,0.88,1,0,1,0,1,1,0,1,1,1,5000,0,1,45000,0.0,1,12,0,1,1,1,3,2,1,0,0,0,0,3,0,3,1,0,0,0,0,0,1,0,0,0
149900,5,103.0,1.0,0,0,1,0,1,1,1,1,1,1,6000,0,1,150000,1.0,1,12,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,16,59.6,0.56,1,0,1,0,0,1,0,1,0,1,4000,0,1,45000,0.5,1,12,0,1,2,0,1,0,1,0,1,1,0,6,0,2,0,0,1,0,0,0,0,1,0,0
50000,3,27.0,0.33,1,0,1,1,1,1,1,1,1,1,0,1,1,50000,0.0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
42000,6,45.0,0.2,1,0,1,0,1,1,1,1,0,1,3500,0,1,45000,0.5,1,12,0,1,3,0,0,0,1,0,0,0,0,6,0,2,0,0,1,0,0,0,1,0,0,0
45000,9,50.0,0.56,1,0,1,0,1,1,0,0,1,1,5000,0,1,45000,0.6,1,12,0,1,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
55000,17,45.0,1.0,0,1,1,0,1,1,0,1,1,1,5000,0,1,55000,0.9,1,12,0,1,2,1,1,2,3,0,1,0,0,7,1,4,0,1,0,0,0,0,0,0,0,0
56000,7,33.0,0.33,1,0,1,1,1,1,0,1,1,1,2000,0,1,56000,0.0,1,12,1,0,3,0,2,1,1,1,0,0,0,6,0,4,1,0,0,0,0,0,0,1,0,0
280000,12,163.0,0.12,0,0,1,1,1,1,1,1,1,1,15000,0,1,280000,0.5,1,12,2,1,2,0,1,1,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0
95000,11,65.0,0.8,0,0,0,1,1,0,1,1,1,1,5000,0,0,95000,0.8,1,12,0,1,2,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0
100000,17,38.0,0.67,1,0,1,1,1,1,1,1,1,1,5000,0,1,100000,0.5,1,12,0,1,3,1,2,2,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
38000,12,22.0,0.82,0,1,1,0,1,1,0,1,0,1,3500,0,1,38000,0.0,1,12,1,0,1,1,2,2,1,0,1,0,0,23,1,4,1,0,0,0,0,0,0,1,0,0
24000,14,21.0,0.9,0,1,0,0,1,1,0,1,1,1,2000,0,1,24000,0.0,1,12,1,0,2,1,2,1,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0
38000,6,24.0,0.73,0,1,0,0,1,1,0,1,0,1,3000,0,1,38000,0.0,1,12,1,0,2,1,1,2,0,0,1,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0
34900,3,24.0,0.29,0,1,1,0,1,1,1,1,1,1,6500,0,1,35000,0.0,1,3,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22000,7,15.0,0.25,0,1,1,0,0,0,0,1,1,1,4000,0,0,26000,0.45,1,12,1,0,1,0,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0
